train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1174,0.7882,1.1371,0.7672,119,0.000872020950762631,23266666 microseconds,512,2,0.082809442664453,0.18605415965454863
1.121,0.7848,1.1412,0.7611,116,0.0007649326818926073,22368417 microseconds,512,2,0.31453774763333153,0.2948126035422449
1.1279,0.7765,1.1434,0.7592,109,0.0006852591875149002,39931125 microseconds,256,2,0.4751600581884984,0.34811076854737366
1.1302,0.7741,1.1447,0.7611,101,0.0004642536769689261,144630286 microseconds,64,2,0.4124748242837808,0.5988058618664021
1.133,0.7697,1.1458,0.7586,75,0.000606522602263415,212913219 microseconds,32,2,0.1555809879904957,0.18626281818072
1.128,0.7769,1.1474,0.7586,72,0.0006578085672593384,102690973 microseconds,64,2,0.1594047194124546,0.4259441342540484
1.135,0.7725,1.1498,0.7592,144,0.00041409767436592464,27854390 microseconds,512,2,0.3489663660077025,0.6110640265643866
1.1391,0.7636,1.1516,0.7525,75,0.0007263227905390127,107326953 microseconds,64,2,0.20222374351520744,0.5797883761962532
1.1732,0.7286,1.1622,0.7445,77,0.000830323584803401,111610275 microseconds,64,2,0.6355666886724768,0.27682950470315326
1.1567,0.7484,1.1654,0.7383,74,0.0006907652030584548,54539356 microseconds,128,2,0.10126640342774362,0.8734152462963173
1.1541,0.7501,1.1676,0.7365,100,0.0009424649457734474,36577068 microseconds,256,2,0.6657545861885688,0.5634362317267203
1.1581,0.7471,1.1737,0.7309,82,0.0006173038458183856,31039864 microseconds,256,2,0.6947674458284269,0.24981717752285215
1.1623,0.7436,1.1838,0.7186,150,0.00015378264689539997,54620941 microseconds,256,2,0.026692934734742435,0.4346703409576146
1.1841,0.7186,1.1872,0.7137,75,0.0009847584159980737,214293979 microseconds,32,2,0.5487059793611565,0.6600233657281299
1.1792,0.7316,1.1932,0.7167,150,0.00018286598496676255,28966377 microseconds,512,2,0.4334030865945149,0.3728944463873286
1.1853,0.7209,1.1952,0.7094,104,0.0003366636113450069,147632383 microseconds,64,2,0.05096637877801047,0.9440226258411261
1.2142,0.6887,1.2218,0.6817,108,0.0009552898353534755,21318141 microseconds,512,2,0.8876951805700523,0.2742432078903295
1.2394,0.662,1.2464,0.6509,88,0.000853923774908047,32856115 microseconds,256,2,0.3460142449731871,0.9624065578195938
1.4298,0.4677,1.4101,0.4877,35,0.000275915995266216,99878075 microseconds,32,2,0.9951538888843807,0.6641522175552453
1.4692,0.4304,1.4474,0.4544,48,0.0002158790400423473,69429381 microseconds,64,2,0.9983758273931491,0.00021708842894185842
