train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
0.9751,0.7533,0.9774,0.756,59,0.0005547083629674037,430043331 microseconds,256,1,0.08172381896182535
0.9768,0.7501,0.9776,0.7472,61,0.0002172312898577877,876496085 microseconds,128,1,0.1080520350449421
0.9764,0.7515,0.9794,0.7467,85,0.00040465288437244737,309401130 microseconds,512,1,0.2989519840112994
0.9786,0.7473,0.98,0.7439,50,0.0009616175775187948,717397367 microseconds,128,1,0.05384614111311037
0.9793,0.7485,0.9803,0.7449,58,0.0009328701020847846,3312227500 microseconds,32,1,0.0645370225286408
0.9817,0.7442,0.982,0.739,44,0.00019876546549988668,2514681431 microseconds,32,1,0.17025415115759734
0.9818,0.7437,0.9828,0.7413,39,0.0003966243689017834,564387649 microseconds,128,1,0.19376077864160657
0.9814,0.7478,0.9842,0.7447,120,0.00013694908537431038,440535150 microseconds,512,1,0.36232068187932664
0.9883,0.7368,0.9876,0.7381,71,0.0001254094192765186,4092271259 microseconds,32,1,0.6502346438498979
0.9882,0.7372,0.9876,0.7354,66,0.0005655320651390174,476335166 microseconds,256,1,0.5206341185040992
0.9913,0.7333,0.9892,0.732,93,0.0008319392257976986,5343952869 microseconds,32,1,0.5740741170267492
0.9917,0.7322,0.9903,0.732,67,0.000911963845178436,960983058 microseconds,128,1,0.5140799489287519
0.9915,0.7316,0.9909,0.7308,61,0.0008835292844372571,1740870748 microseconds,64,1,0.539604165448803
0.9967,0.7268,0.9964,0.7293,121,0.00014556713117033665,873763687 microseconds,256,1,0.8556969428652056
0.9987,0.7218,0.9972,0.7287,51,0.00039029780053942295,368030668 microseconds,256,1,0.7223919710779565
0.9975,0.727,0.9973,0.7274,70,0.0002085203900923984,510459529 microseconds,256,1,0.7842631918226566
1.0082,0.7097,1.005,0.7154,98,0.0007762379215163376,1404906726 microseconds,128,1,0.8262886693923357
1.0088,0.7093,1.0059,0.7132,71,0.00043335563601855056,4068283235 microseconds,32,1,0.8227062303524426
1.0097,0.7078,1.0084,0.7073,58,0.0006843297021238055,210791972 microseconds,512,1,0.8104978208740717
1.0163,0.7011,1.0151,0.7041,77,0.000877436964755938,1103795151 microseconds,128,1,0.8360611536966511
