train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.1213,0.7854,1.1352,0.7716,119,0.00026532860721534035,555147618 microseconds,32,1,0.17692061597153974
1.1249,0.7844,1.1398,0.7666,150,0.0004153149175345025,177187624 microseconds,128,1,0.14712397832735513
1.1407,0.7628,1.1509,0.7537,105,0.0009405217518969635,490246206 microseconds,32,1,0.3166848628836395
1.1388,0.7665,1.153,0.7506,150,0.0002692196577364664,350588941 microseconds,64,1,0.4404444719224888
1.1424,0.7642,1.1556,0.7537,150,0.0008330514086210246,90753247 microseconds,256,1,0.3508146946266363
1.1485,0.758,1.1653,0.7389,125,0.000684295139643057,148558172 microseconds,128,1,0.34732437901995994
1.1506,0.7547,1.1665,0.7371,142,0.0003249068495476812,331985791 microseconds,64,1,0.3428915036233763
1.1546,0.7516,1.1672,0.7401,108,0.0001806077455223091,513875995 microseconds,32,1,0.2842573598895769
1.1579,0.7485,1.1704,0.7365,101,0.0006876981528758679,120198401 microseconds,128,1,0.3320577535399811
1.16,0.7452,1.1786,0.7211,150,0.000431557972683558,89547921 microseconds,256,1,0.22824318520669695
1.1662,0.7388,1.1788,0.726,150,0.00045281649457076854,90395721 microseconds,256,1,0.4077016030764994
1.172,0.735,1.1843,0.7198,150,0.0007230984932621107,90266527 microseconds,256,1,0.6438457569084491
1.1924,0.7154,1.2023,0.7038,150,0.0005263542975880897,46710376 microseconds,512,1,0.5347661055705312
1.1984,0.7067,1.2128,0.6958,150,0.00021585392407478518,699270161 microseconds,32,1,0.7860230166805182
1.2235,0.6828,1.2363,0.6644,150,0.0001704817293302269,177120410 microseconds,128,1,0.504587948451511
1.2183,0.687,1.2363,0.6663,150,0.00010450474791705812,351152612 microseconds,64,1,0.10696797601684283
1.2342,0.6734,1.2465,0.6595,150,0.00015203059277931177,177363061 microseconds,128,1,0.510780575458394
1.2659,0.6425,1.2686,0.6355,150,0.00022768985727237006,90673510 microseconds,256,1,0.7939825459681993
1.3045,0.5915,1.3042,0.5985,100,0.0008230749725773405,125235487 microseconds,128,1,0.8984134590150266
1.3046,0.594,1.3091,0.5973,78,0.0006821527645743703,24239858 microseconds,512,1,0.8610252953527097
