train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
0.9761,0.7509,0.9794,0.7468,72,0.0007563415692455484,1004421712 microseconds,512,2,0.15869337750798684,0.49093474275165216
0.9798,0.7466,0.9806,0.745,46,0.00025581503453554543,9916004955 microseconds,32,2,0.13018264634308152,0.12202745825839734
0.9796,0.7465,0.981,0.7414,59,0.0009591397984129157,1649678823 microseconds,256,2,0.01085376928066395,0.35919101593537783
0.9793,0.7459,0.9821,0.7436,95,0.0008173338432043247,2576206153 microseconds,256,2,0.4611382560548538,0.2902798617681226
0.9793,0.7477,0.9824,0.7437,94,0.0008018785543744658,1310866245 microseconds,512,2,0.21359423738098393,0.7263612223006255
0.9863,0.7366,0.985,0.7356,53,0.0006247292877646489,11674346851 microseconds,32,2,0.3341988928185504,0.09350093343901666
0.984,0.7415,0.9852,0.7405,85,0.00021918853603407177,2387626957 microseconds,256,2,0.6738457402807521,0.5636464071977284
0.9858,0.7403,0.9869,0.7397,53,0.00010931841160350597,5800358289 microseconds,64,2,0.3437113219472203,0.6971875459354201
0.9879,0.7384,0.9877,0.733,61,0.0005108114846716187,850914056 microseconds,512,2,0.7016659223676003,0.45576633128464317
0.9877,0.7364,0.9879,0.7357,104,0.0002934798593186548,11670046358 microseconds,64,2,0.4287507818391527,0.8869319885060098
0.9862,0.7422,0.989,0.7344,59,0.0008537596850533347,1646430804 microseconds,256,2,0.31371868286660165,0.7419625849550752
0.9966,0.7274,0.9951,0.7237,51,0.0006324789421273184,11337153142 microseconds,32,2,0.5594742384508952,0.6222277438484901
0.9999,0.7213,0.9996,0.7209,54,0.0009524050400609192,3047824387 microseconds,128,2,0.7643906387312696,0.26885530412079406
1.0055,0.7146,1.0045,0.7173,51,0.0009408288894020399,719460584 microseconds,512,2,0.8106270781266837,0.6273103944652095
1.0099,0.7083,1.0079,0.7081,50,0.0009129738600186047,5596989404 microseconds,64,2,0.8361198037276897,0.1941823026331435
1.0264,0.6825,1.0224,0.6889,46,0.000760334342052937,5046952006 microseconds,64,2,0.7069102702643304,0.9564482080750669
1.0425,0.6662,1.0385,0.6705,45,0.0003697384612084808,2485824306 microseconds,128,2,0.9810651837810929,0.06392882761505103
1.0437,0.6639,1.0402,0.6676,50,0.00030192730922170365,5510544802 microseconds,64,2,0.9822841721252765,0.5217471254158267
1.244,0.4998,1.2437,0.5,12,0.0008588967467104452,648334276 microseconds,128,2,0.6104288154133783,0.9924284617401362
1.2463,0.4988,1.2437,0.5,11,0.0006879176348968414,2368902298 microseconds,32,2,0.9953611136158644,0.46548838885478316
