train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.1041493602097034,0.8026124866699781,1.1247059106826782,0.7838669950738916,150,0.0006508579473581169,78188287 microseconds,256,1,0.1251550838926795
1.1094958298788296,0.7938854275150387,1.1277645826339722,0.7740147783251231,150,0.0008496601940520296,303736552 microseconds,64,1,0.3584528201826106
1.1154516480100436,0.7860162724215974,1.1280461549758911,0.7758620689655172,150,0.0007574860493147384,606537386 microseconds,32,1,0.458381275158226
1.108185308186088,0.8008987948107594,1.1337532997131348,0.7721674876847291,150,0.0003208189235164505,303982478 microseconds,64,1,0.0655858406345019
1.1076455102192135,0.7985496560000808,1.1340521574020386,0.7746305418719212,150,0.000305883888011867,304013838 microseconds,64,1,0.017593610498121692
1.1196692280881986,0.7828609890197881,1.1350194215774536,0.7697044334975369,150,0.00041938611009763424,614033642 microseconds,32,1,0.49128178755765384
1.1288493442253804,0.7745783915426456,1.1417232751846313,0.7592364532019704,150,0.00020447049040660448,687506442 microseconds,32,1,0.5891134449748471
1.1351116932928562,0.7698422007911705,1.14643132686615,0.7567733990147784,150,0.0009677761852454688,78882112 microseconds,256,1,0.6454369224729429
1.1450550556182861,0.7590395880279921,1.1560829877853394,0.7463054187192119,150,0.0008604935558103036,80032315 microseconds,256,1,0.6793793247504039
1.1535338144749403,0.750092088434465,1.1674498319625854,0.7327586206896551,150,0.0005532096812126358,153791240 microseconds,128,1,0.739597223108574
1.1683402305512915,0.7338344302649815,1.175708532333374,0.729679802955665,150,0.0008147336914628893,607764192 microseconds,32,1,0.758314395502774
1.1647036336362362,0.7392025553381415,1.1794933080673218,0.7229064039408867,150,0.0009284340880606331,78992762 microseconds,256,1,0.7705859477441039
1.1830326821655035,0.7251225099565571,1.1983692646026611,0.7050492610837439,150,0.00016899556692994506,153424758 microseconds,128,1,0.5636472696845992
1.201183333992958,0.7048454600120777,1.2111217975616455,0.6951970443349754,150,0.00048564764633078123,47067093 microseconds,512,1,0.8428049508693388
1.2100112102632448,0.6918568078546113,1.227123737335205,0.6742610837438424,150,0.000357078674133784,606710620 microseconds,32,1,0.8578211940999104
1.2191048189997673,0.6898211917680401,1.230287790298462,0.6804187192118226,150,0.0002565208474022244,40379430 microseconds,512,1,0.7674146223169215
1.2255302369594574,0.6833028688020053,1.2313956022262573,0.6779556650246306,150,0.00016922965193691354,78339176 microseconds,256,1,0.26637855810000977
1.21678605182903,0.6849223096899255,1.2340950965881348,0.6687192118226601,150,0.00036128126656575284,605493991 microseconds,32,1,0.8586705775699373
1.2452500279494159,0.655365786265201,1.2523243427276611,0.6520935960591133,150,0.0005232961702338622,304053928 microseconds,64,1,0.9188339566828145
1.3045914210379124,0.596393937938027,1.3097609281539917,0.5862068965517241,150,0.00020385715417100278,77730974 microseconds,256,1,0.9541645312086456
