train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
0.9753,0.754,0.978,0.7516,95,0.0008738763544003282,2907876516 microseconds,256,1,0.21088791994680844
0.9784,0.7484,0.9798,0.7457,73,0.0004194797539726139,8881675411 microseconds,64,1,0.3130136245170442
0.9784,0.7473,0.9812,0.7482,91,0.00031761033863658163,5650242993 microseconds,128,1,0.4249290664348728
0.9789,0.7511,0.9823,0.7457,77,0.0002108432850024067,1183122422 microseconds,512,1,0.24988957466723039
0.979,0.7499,0.9829,0.7473,77,0.00017963882920131016,1205864168 microseconds,512,1,0.12142819334078192
0.9831,0.7416,0.9833,0.7445,97,0.0003637660676568269,1489506009 microseconds,512,1,0.6040322699879493
0.984,0.7406,0.9836,0.7434,66,0.0006440679921973519,16330951914 microseconds,32,1,0.3714055255211218
0.9809,0.7472,0.985,0.7415,141,0.0001233469062076596,2166200704 microseconds,512,1,0.5954727844615757
0.9849,0.7401,0.9855,0.7425,95,0.0004068023601259429,11552799503 microseconds,64,1,0.630458861644454
0.9842,0.7406,0.9855,0.739,45,0.0006820504148745298,2743164898 microseconds,128,1,0.3433293680725463
0.9861,0.7388,0.9863,0.7388,25,0.000444771883189747,3097649038 microseconds,64,1,0.03460866896127357
0.9871,0.737,0.9891,0.7331,101,0.0009976249573594002,1581556761 microseconds,512,1,0.5757347286711266
0.9893,0.7341,0.9895,0.7337,105,0.0007340802595211402,25915579714 microseconds,32,1,0.6448436483363318
0.993,0.7311,0.994,0.7297,86,0.0006150275266161586,1320838619 microseconds,512,1,0.7169643989272625
0.9969,0.7264,0.9949,0.7276,72,0.0009806148038915736,17816823445 microseconds,32,1,0.6030886900293263
1.0002,0.7215,0.9986,0.7214,65,0.0005906999281448605,1989463040 microseconds,256,1,0.7459184042639706
1.0002,0.7191,1.0002,0.7229,53,0.000340731996233768,3290588744 microseconds,128,1,0.7787557614668363
1.0088,0.71,1.0092,0.7096,38,0.0008638304357122603,595181892 microseconds,512,1,0.7798112797456139
1.0281,0.6813,1.0252,0.6841,24,0.0009160142920280773,5831656956 microseconds,32,1,0.8536841693130451
1.0517,0.648,1.0516,0.6435,20,0.000557082679460999,1219012690 microseconds,128,1,0.9732161975736929
