train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2,dropout_3
1.1237118483528377,0.7805484878723747,1.145281195640564,0.7555418719211823,0.0006765847692141904,245277031 microseconds,64,3,0.03228176848339959,0.25641445400706697,0.10307742879877468
1.1385229863519744,0.7657682595656295,1.1539448499679565,0.75,0.00048657113679824584,246704778 microseconds,64,3,0.028674696642669972,0.8059278739921358,0.612040335418577
1.1366223021755069,0.7670420555738544,1.1571403741836548,0.7463054187192119,0.0006105978516080392,244726097 microseconds,64,3,0.2562371129133163,0.22809283327328367,0.5719365436544208
1.1362476516515017,0.7672465421900782,1.1587499380111694,0.7450738916256158,0.0008670680317802046,124006191 microseconds,128,3,0.3777119790674164,0.39862396915103293,0.4858429207937498
1.132518591843252,0.7709745026330891,1.1624380350112915,0.7401477832512315,0.0006554488407605995,245312833 microseconds,64,3,0.2668168728746413,0.14225819888091795,0.577005979007432
1.1437050327658653,0.7607498423861576,1.1649680137634277,0.7352216748768473,0.0004051362198545148,63458179 microseconds,256,3,0.5257381066570659,0.39268278549834,0.0721698396872903
1.1421900764107704,0.7615397327134856,1.1650407314300537,0.7358374384236454,0.0009546088009421117,34360638 microseconds,512,3,0.31675656627341287,0.24983956276980923,0.06753105985560981
1.1353338733315468,0.7687385801721527,1.1650798320770264,0.7358374384236454,0.0008012483139365484,33019503 microseconds,512,3,0.23458411825400305,0.2726579809330546,0.6407204989546569
1.13265286013484,0.7721712319475297,1.1694691181182861,0.7327586206896551,0.0005809885885198367,63072675 microseconds,256,3,0.14062435301987397,0.644934077932431,0.49364731879356416
1.1558434916293527,0.7480225412146018,1.181542992591858,0.7204433497536946,0.0003232034441403139,244469033 microseconds,64,3,0.145274954113906,0.23522812021200423,0.8841840306366389
1.156578822398749,0.7458613777416707,1.1849985122680664,0.7185960591133005,0.0005949900506513062,244633137 microseconds,64,3,0.47340209893111074,0.033862328276906495,0.07338246903493284
1.1809973622870258,0.7239851167170834,1.2035863399505615,0.6988916256157636,0.0003724888614783375,488664122 microseconds,32,3,0.7537988909266526,0.13265670464511026,0.6646542254106406
1.2006131149828434,0.7067500300011907,1.2145346403121948,0.6921182266009852,0.00019952839541635721,63358470 microseconds,256,3,0.46199083928886897,0.6484421394199612,0.14774774193839768
1.215164665132761,0.6874401884862654,1.2173866033554077,0.6859605911330049,0.0008203073752102174,63210240 microseconds,256,3,0.704491356143924,0.11112928842508418,0.0061996509027381075
1.2310970649123192,0.6727982685643498,1.2423681020736694,0.6594827586206896,0.00018535595057876414,124532656 microseconds,128,3,0.8888655355195672,0.4797187326862906,0.4722493976014278
1.228340585400739,0.6731479085024792,1.2440860271453857,0.6588669950738916,0.0003009863097670535,244996819 microseconds,64,3,0.8793218133996467,0.7995654673540269,0.6658772457270195
1.2748586587079866,0.6236103796587977,1.2827558517456055,0.6200738916256158,0.0009633665324739103,245262553 microseconds,64,3,0.9411396556372895,0.4266702977028608,0.029636808756918986
1.278970219194889,0.6227487321372108,1.289960265159607,0.6108374384236454,0.0008954595560446829,124824042 microseconds,128,3,0.9427213332573836,0.14229893597225307,0.5072003232135517
1.2868193904245933,0.6141712822123562,1.3028252124786377,0.6003694581280788,0.000489264590204297,245589638 microseconds,64,3,0.9539638255428726,0.47001849483218705,0.7447369032740947
1.3215426057577133,0.5830607643503264,1.3295494318008423,0.5726600985221675,0.00026704562514467966,63303360 microseconds,256,3,0.06503744982022874,0.9332493989557913,0.9282268195731443
