train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1223404854536057,0.7826945206795672,1.1434454917907715,0.7592364532019704,150,0.0007645355577251587,38197504 microseconds,512,2,0.3261084360856652,0.5019069353095739
1.121128298342228,0.7845020123908668,1.1435209512710571,0.7641625615763546,150,0.000983624917125329,38439025 microseconds,512,2,0.15339433275913472,0.30408755550500377
1.1241351887583733,0.7808656096434436,1.1450389623641968,0.7592364532019704,150,0.0007546626212096018,38545038 microseconds,512,2,0.4281925030804329,0.4871366175171358
1.1249771442000323,0.7792316018699904,1.152875542640686,0.749384236453202,150,0.00025102334477210736,285804146 microseconds,64,2,0.33796249087665164,0.005930119751955454
1.1356978192925453,0.7683205577013028,1.1560957431793213,0.75,150,0.000620966075284805,38359913 microseconds,512,2,0.010192937470688612,0.8262033043461723
1.134636178730041,0.7696739269975073,1.1580480337142944,0.7463054187192119,150,0.0004897012257738233,286077579 microseconds,64,2,0.5458831459202377,0.5887366347973402
1.1408056816247505,0.7625963387358913,1.1603761911392212,0.7450738916256158,150,0.0008882919062321269,574803468 microseconds,32,2,0.3982979625612981,0.6332058041868568
1.1481345469557394,0.7578074993104233,1.1645121574401855,0.7401477832512315,150,0.00017683172076923633,285054951 microseconds,64,2,0.3309986508091164,0.8654966874733774
1.1399596272491095,0.7634468516458683,1.1658769845962524,0.7383004926108374,150,0.0005866143075279716,289444584 microseconds,64,2,0.07076257498107874,0.8731210735598356
1.1422539480089202,0.7619830755054682,1.1669481992721558,0.7383004926108374,150,0.00019933199517580642,286123439 microseconds,64,2,0.5919196038234457,0.628216173957667
1.1608403883874416,0.7467232247226083,1.1794633865356445,0.7266009852216748,150,0.00024453138927809075,73129571 microseconds,256,2,0.21673098792211676,0.8422538549468082
1.1658217329531908,0.7397155323701888,1.1816439628601074,0.7222906403940886,150,0.00020475090302276964,145065108 microseconds,128,2,0.8373691194697435,0.5484126925236716
1.1640261974860364,0.7397911472320602,1.1832215785980225,0.7192118226600985,150,0.0006959804523896446,288593725 microseconds,64,2,0.44951151509893483,0.7870056524386193
1.1711815856397152,0.7367380479705208,1.1883505582809448,0.7179802955665024,150,0.0002392867561484426,74025744 microseconds,256,2,0.018432599839753205,0.06350980796645367
1.193556547164917,0.7116387626057494,1.2188609838485718,0.6853448275862069,150,0.0007650373067129295,38504904 microseconds,512,2,0.9003018837194207,0.2615824258549736
1.1984269665920828,0.7048323804332908,1.2247350215911865,0.6754926108374384,150,0.0008280027568566289,286290630 microseconds,64,2,0.697360404501953,0.8576992301327698
1.2171137192117887,0.689327144736174,1.229986548423767,0.6767241379310345,150,0.00010848788590917108,285339622 microseconds,64,2,0.8927987241068572,0.2507455864534821
1.2143713161349297,0.6903134607286568,1.2302457094192505,0.6699507389162561,150,0.0009664683600380332,38449665 microseconds,512,2,0.8814588671323073,0.7704743514156549
1.2728945799171925,0.6311978580972091,1.2844876050949097,0.6151477832512315,150,0.00011722801131782113,73943491 microseconds,256,2,0.8700505855862262,0.7429879326843634
1.356682863086462,0.5306210538828484,1.3754806518554688,0.5160098522167488,150,0.0006715984775829543,75047781 microseconds,256,2,0.10852609210633657,0.9870734271767772
