train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2,dropout_3
1.135,0.7691,1.1485,0.7537,117,0.0004220961493326743,129373306 microseconds,128,3,0.35149879132744133,0.6741810261942645,0.5786535149233749
1.1448,0.7618,1.154,0.75,115,0.0008813583234951822,34220073 microseconds,512,3,0.36631244841081356,0.053264062355191544,0.7805108228667512
1.1394,0.7652,1.156,0.7488,121,0.000899594967388655,34881804 microseconds,512,3,0.044308256754242104,0.7659371420445777,0.34597352180000174
1.1529,0.7521,1.1619,0.742,91,0.0005991253223845651,51242160 microseconds,256,3,0.026836975711995392,0.7532485861702374,0.48844465793328284
1.149,0.7562,1.1644,0.7358,137,0.00017239420030370069,300276986 microseconds,64,3,0.6960546849418962,0.7097480985516608,0.0032742961951195415
1.1526,0.7531,1.1652,0.7389,150,0.0003284983738137496,166869404 microseconds,128,3,0.10896632658776861,0.8127650677314167,0.8449386851365769
1.163,0.7407,1.1652,0.7389,123,0.00041388983362581136,136397923 microseconds,128,3,0.7337942574192738,0.7306158584941729,0.3990115150165642
1.1543,0.7493,1.1655,0.7358,60,0.000986805369657035,33203111 microseconds,256,3,0.039149005182079644,0.42550124367266595,0.288223898308522
1.1823,0.7217,1.1663,0.7395,65,0.0009481539178324051,36708135 microseconds,256,3,0.3066649696000061,0.38269215075261565,0.5291247780650276
1.1612,0.7424,1.1697,0.7352,101,0.0005534931464897714,56669391 microseconds,256,3,0.6742297225992429,0.1583810657597582,0.025186294750303095
1.1592,0.7484,1.1717,0.7383,98,0.00035976986863703135,55387685 microseconds,256,3,0.2938498090556917,0.4729124222241924,0.34427909144866886
1.1721,0.7329,1.1786,0.7272,138,0.000992682177286339,40843144 microseconds,512,3,0.21043651332431268,0.9501196078068426,0.05768422490485481
1.1811,0.7205,1.1902,0.7118,138,0.0008673757487286224,79202035 microseconds,256,3,0.4129845975848079,0.9492462599957372,0.5199468109003954
1.2046,0.6983,1.202,0.7001,50,0.0006591394285557661,218718547 microseconds,32,3,0.027726515930019846,0.08538863855174761,0.7843242282993274
1.2057,0.6979,1.2083,0.6964,58,0.0005452156072106629,253738740 microseconds,32,3,0.4821000366253916,0.5144079197565742,0.7102241758618559
1.2731,0.6318,1.2753,0.6293,122,0.0004283646974911047,266659084 microseconds,64,3,0.3343433105830931,0.32474332879508827,0.9754536316311361
1.2962,0.6064,1.2968,0.6084,112,0.00010019305501511903,32540064 microseconds,512,3,0.39662402709702205,0.7877717821191267,0.4106497818823739
1.3082,0.5939,1.3052,0.5967,90,0.0008989577797642428,99672430 microseconds,128,3,0.6982086938611293,0.8213509985213066,0.9483462652061164
1.3291,0.5704,1.3299,0.5683,43,0.0006322864676170561,48718910 microseconds,128,3,0.9727221676244768,0.40561868246257826,0.5839892518446896
1.4371,0.4602,1.4201,0.4852,70,0.00023697393533321916,304147396 microseconds,32,3,0.9161196372223797,0.010531616946876432,0.9849259384080167
