train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.0756811386956944,0.8297217508946803,1.1104789972305298,0.7924876847290641,0.0008964349833105434,159289932 microseconds,64,1,0.127272789924616
1.1049906089901924,0.8013909714194106,1.1243771314620972,0.7789408866995073,0.0009760491694524272,42005656 microseconds,256,1,0.42483855309053775
1.1015847753733397,0.8049488050668121,1.1259369850158691,0.7789408866995073,0.0004522821858049671,80983404 microseconds,128,1,0.3233070257380839
1.1049273929258032,0.7984196533378313,1.1345481872558594,0.7684729064039408,0.0006552265390416556,318411101 microseconds,32,1,0.4766861194898905
1.1135759204626083,0.7949833929185472,1.1365059614181519,0.7721674876847291,0.0004891650531392689,41660573 microseconds,256,1,0.1686929986502823
1.112235615029931,0.7925760060992602,1.1377559900283813,0.7629310344827587,0.000553211699586205,81812436 microseconds,128,1,0.5182237317649786
1.1286549234953451,0.7764827807512067,1.1435378789901733,0.7635467980295566,0.00025914409622218105,159333053 microseconds,64,1,0.5850893403301394
1.1239542313448088,0.7809588500347632,1.1466472148895264,0.7573891625615764,0.00031436232308227697,319099703 microseconds,32,1,0.6157433780948528
1.1262712851166725,0.7797165826744037,1.150854229927063,0.7536945812807881,0.0006668726102378988,21044332 microseconds,512,1,0.09438348504113347
1.142518538981676,0.7648381213857226,1.16132390499115,0.7383004926108374,0.00043443648434657886,80917135 microseconds,128,1,0.7313574970310089
1.1572502607435693,0.7454550523837002,1.1688507795333862,0.7333743842364532,0.000633115390947577,322158243 microseconds,32,1,0.7015446121092016
1.1447944481541792,0.7586602842234426,1.1741931438446045,0.729064039408867,0.000983554197779739,160592211 microseconds,64,1,0.6262286394870595
1.1598550826311111,0.7467486682200036,1.1762521266937256,0.7272167487684729,0.00031604307640781726,41582912 microseconds,256,1,0.2553349965049394
1.172874666750431,0.7333229761187673,1.1861894130706787,0.7210591133004927,0.0006022356089502046,21327776 microseconds,512,1,0.7877525701169503
1.1692397966980934,0.7366927629117178,1.1886671781539917,0.7173645320197044,0.00041625540251925375,21646864 microseconds,512,1,0.2286221317845334
1.1922429283772866,0.7119298945588529,1.2058528661727905,0.6939655172413793,0.0007964683827222669,160550937 microseconds,64,1,0.8388188938956285
1.214143306016922,0.6954677361294191,1.2231037616729736,0.6847290640394089,0.00030953289519986433,21279451 microseconds,512,1,0.7918396237967426
1.2626514062285423,0.6415114533708214,1.273280143737793,0.6280788177339901,0.00016471161692134748,21827213 microseconds,512,1,0.4185420900344866
1.2725636325776577,0.6288873035843929,1.2844890356063843,0.6200738916256158,0.000573699130326816,40846416 microseconds,256,1,0.92579571031084
1.3391240499913692,0.5588902170535778,1.3566516637802124,0.5461822660098522,0.00027359524291829254,42006399 microseconds,256,1,0.9815215160322321
