train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1066824892374474,0.7974387459139239,1.123173475265503,0.7795566502463054,0.0003346499084895116,212569306 microseconds,64,2,0.42826606410602475,0.26113709031411314
1.100124552845955,0.8070117810936946,1.1285618543624878,0.7789408866995073,0.0005174415209910678,55207631 microseconds,256,2,0.15088827507217895,0.3878880348451049
1.1104179993271828,0.793582813932396,1.1337156295776367,0.7684729064039408,0.000783504607751848,108715397 microseconds,128,2,0.08916025973634678,0.5463977056963475
1.1168386865788558,0.7869666667014181,1.1393647193908691,0.7660098522167488,0.0009492539910344737,213980424 microseconds,64,2,0.17942892175644254,0.18204192487678927
1.12864250367082,0.7739337871396443,1.1493791341781616,0.7543103448275862,0.0004033271929129173,212717001 microseconds,64,2,0.31560361382405966,0.7689993020611021
1.121725847401957,0.7815393007711605,1.1498312950134277,0.7536945812807881,0.0009194107854914218,425222849 microseconds,32,2,0.22348156380885598,0.27017625557322844
1.1371070221066475,0.769015610162032,1.1526057720184326,0.75,0.00027689389838776637,55345516 microseconds,256,2,0.3182414452357716,0.5928306801548279
1.1303464136724397,0.7735235845181128,1.1578761339187622,0.7444581280788177,0.0003993428129087761,213091945 microseconds,64,2,0.6137515473774924,0.5299697254690864
1.1472917646169662,0.7593998611067275,1.1640416383743286,0.7413793103448276,0.00025424496494081696,55198216 microseconds,256,2,0.2280836302322956,0.7502255707339052
1.1456712981847328,0.7580626256599694,1.1652069091796875,0.7401477832512315,0.0007393147498161839,212577596 microseconds,64,2,0.6077856956499342,0.00633063621422747
1.143705129623413,0.761527774293958,1.1684104204177856,0.7339901477832512,0.0007786935141263215,29346165 microseconds,512,2,0.7393400362341729,0.20601466618360842
1.1512554734945297,0.7530263008680615,1.172903060913086,0.728448275862069,0.0007964371348719019,28616145 microseconds,512,2,0.6732575069449862,0.7867457811907346
1.1678963416204677,0.7357322412799742,1.1778488159179688,0.7266009852216748,0.0009279018233949696,427690678 microseconds,32,2,0.7356150131546906,0.05350311330838442
1.1503219175057149,0.7524133655476872,1.188865303993225,0.7136699507389163,0.0007411816425996501,427452002 microseconds,32,2,0.3081356000102565,0.3085405473647532
1.1846368908882141,0.7211479954671184,1.1957095861434937,0.7105911330049262,0.00023859117569577197,29116932 microseconds,512,2,0.3948993200111157,0.1755295488819073
1.1965796127915382,0.7111369970558855,1.218217134475708,0.687807881773399,0.0002272557336659888,28954496 microseconds,512,2,0.6763909570118225,0.3984762688431346
1.205241896212101,0.7042241957348316,1.2239331007003784,0.6847290640394089,0.00021163668738497486,28469753 microseconds,512,2,0.6151507126190254,0.6838011691857562
1.2302026227116585,0.6801387743075085,1.2488603591918945,0.6613300492610837,0.00016431418423055089,29162779 microseconds,512,2,0.343636911568986,0.08028975557713713
1.3253343100622883,0.5735275562159149,1.33384108543396,0.5615763546798029,0.00016943052554288312,424353861 microseconds,32,2,0.9880574298061849,0.1480049612762515
1.3710658326745033,0.5258013443213556,1.3668391704559326,0.5357142857142857,0.00047964273938096673,28949103 microseconds,512,2,0.9932110779140857,0.24213043694389735
