train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.0897,0.8145,1.1066,0.7968,97,0.0007018035132355547,209395064 microseconds,32,1,0.10103430773937183
1.0817,0.8256,1.1092,0.795,150,0.00029801950906462136,164426082 microseconds,64,1,0.056803996459432904
1.0927,0.8124,1.112,0.7931,135,0.0008007288714135122,74345279 microseconds,128,1,0.23312466489912742
1.093,0.8105,1.1134,0.7894,131,0.0008861199767463484,286247816 microseconds,32,1,0.26929997993419175
1.1044,0.8016,1.1207,0.7876,150,0.0005299305414089367,41694436 microseconds,256,1,0.429155532283114
1.1147,0.7885,1.1249,0.7796,130,0.0008353556448063548,281265499 microseconds,32,1,0.4262188832375543
1.1151,0.7934,1.1348,0.7765,140,0.0007577578259253821,21082039 microseconds,512,1,0.08615914356791543
1.1212,0.7858,1.1354,0.7746,150,0.0009573508415377488,22148468 microseconds,512,1,0.6227260211234005
1.1244,0.7809,1.1379,0.7722,124,0.0008463240689146659,18215342 microseconds,512,1,0.4871031937172092
1.1168,0.7932,1.138,0.7728,150,0.0004719697281174654,22726218 microseconds,512,1,0.20757672698288165
1.1232,0.7861,1.1438,0.7679,150,0.00010301425624690935,321588770 microseconds,32,1,0.22263638462131907
1.1514,0.7516,1.152,0.7525,68,0.000950736909646397,147217448 microseconds,32,1,0.30311488499375805
1.1356,0.7758,1.1535,0.7562,150,0.000304982052223347,42106120 microseconds,256,1,0.11363397855795099
1.1569,0.7507,1.1713,0.7309,121,0.0002018505487335232,261674638 microseconds,32,1,0.7407334667788159
1.1645,0.7383,1.1731,0.7297,94,0.0005268653878485527,205289694 microseconds,32,1,0.6746549763347973
1.1877,0.7175,1.1915,0.7131,132,0.0005084569074809238,36108481 microseconds,256,1,0.8279160570073366
1.1772,0.7301,1.1932,0.7167,150,0.00027604871933195347,23007568 microseconds,512,1,0.38187193601707936
1.1791,0.7283,1.1938,0.7167,150,0.00027920052133112997,23483659 microseconds,512,1,0.43610845821991573
1.3034,0.5963,1.3043,0.5942,79,0.0007471652764919602,172811779 microseconds,32,1,0.918762934522645
1.3271,0.5714,1.3332,0.5628,98,0.0004224776619091194,14884993 microseconds,512,1,0.9650145931574085
