train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1707,0.7322,1.1903,0.7143,150,0.00016350117779963586,655298158 microseconds,32,2,0.7168718084417826,0.8088529983315504
1.1805,0.7224,1.1978,0.705,121,0.00012107086719863436,528851951 microseconds,32,2,0.4361400287420246,0.297752788086481
1.1858,0.7203,1.2011,0.7032,113,0.00010482020858290726,247893069 microseconds,64,2,0.06208990387085456,0.26949855952641355
1.1804,0.7265,1.2021,0.7044,122,0.0004032545752502394,35866056 microseconds,512,2,0.020269336021526474,0.1392837679162583
1.1814,0.722,1.2034,0.7026,97,0.00041161311939277634,212905379 microseconds,64,2,0.6036663796818649,0.26574952715087996
1.1907,0.7159,1.2064,0.7001,150,0.00021842528967510217,44983140 microseconds,512,2,0.27316981295349807,0.5938983596453328
1.1967,0.7039,1.2084,0.6915,71,0.0008394114877313711,78492919 microseconds,128,2,0.5946297658786907,0.4077307787892944
1.1973,0.7118,1.2093,0.694,137,0.0003001792392771139,39895812 microseconds,512,2,0.16003793789703602,0.825590151214526
1.1939,0.7137,1.2101,0.6964,111,0.00016092302465491097,122883560 microseconds,128,2,0.6054463291459664,0.03923941377745854
1.1932,0.7085,1.2111,0.6933,52,0.0007296435887582536,227932332 microseconds,32,2,0.10449784262086337,0.49441989393167307
1.195,0.7067,1.2129,0.6927,93,0.000460720768225189,203433539 microseconds,64,2,0.7424801251521091,0.5942090145703369
1.201,0.7037,1.2134,0.6915,73,0.0001498744025119409,160831720 microseconds,64,2,0.45780960586297736,0.44904633281177087
1.2004,0.7025,1.2171,0.6841,66,0.0003151232001390212,288376214 microseconds,32,2,0.6526156058406484,0.7516421408724822
1.2292,0.6718,1.2201,0.6841,45,0.0006794289325043138,196002221 microseconds,32,2,0.03836757527724799,0.2186813957132283
1.2184,0.6851,1.2281,0.6798,80,0.0004139455053971569,45334530 microseconds,256,2,0.7498540123659087,0.1798554963492689
1.2119,0.692,1.2288,0.6749,70,0.00067354421208774,20005966 microseconds,512,2,0.6923400779454323,0.5429424295767573
1.2409,0.6637,1.2394,0.6613,45,0.0007928262543914137,25439071 microseconds,256,2,0.5459883331427022,0.33208708622774386
1.2863,0.6168,1.2807,0.6201,31,0.0007356655931917884,34496272 microseconds,128,2,0.6887525559502483,0.8387889182126811
1.3374,0.5622,1.342,0.5597,55,0.0005111540910226321,31195599 microseconds,256,2,0.9829483368936559,0.46196818916631177
1.4115,0.4893,1.3978,0.5037,65,0.0005337643404172311,285267861 microseconds,32,2,0.9885079399603911,0.9685115746512177
