train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1862,0.7191,1.2009,0.7026,150,0.00037458877203663473,241561735 microseconds,256,2,0.4112084967895092,0.817601524204459
1.2131,0.6894,1.2138,0.6897,68,0.0005892483036334676,408157404 microseconds,64,2,0.2726320565201763,0.4922089627506294
1.2049,0.6997,1.2221,0.6804,106,0.0008733656149338838,83427646 microseconds,512,2,0.21237040093345128,0.8318528816630226
1.2154,0.6898,1.2231,0.6798,103,0.0006669238882511334,84958624 microseconds,512,2,0.5269097966435329,0.3107062110748362
1.2156,0.6876,1.2302,0.6773,131,0.0005324095028012745,108502462 microseconds,512,2,0.5234225424275424,0.8035760242395547
1.2243,0.6786,1.2383,0.6663,77,0.0007990989386216337,63829999 microseconds,512,2,0.41273203183048934,0.6808703450663035
1.2516,0.648,1.2614,0.6367,123,0.0006222456331742449,197723600 microseconds,256,2,0.8244689375166617,0.27501308438820715
1.2673,0.6381,1.267,0.6324,144,0.00015797017804792648,112178098 microseconds,512,2,0.1312748897577516,0.634156446293424
1.2654,0.6347,1.2708,0.6268,77,0.0006870961072529685,123914090 microseconds,256,2,0.6800807799739771,0.6034989370027022
1.2813,0.6177,1.2738,0.6293,46,0.0007359116444481159,584702442 microseconds,32,2,0.5352735696291675,0.38359579254825715
1.273,0.6279,1.2776,0.6262,70,0.00012434134623427075,844139464 microseconds,32,2,0.5509866346178361,0.6009018894323449
1.2786,0.6225,1.2815,0.6201,69,0.0005122862530880645,219256754 microseconds,128,2,0.7939448622608404,0.4570832577189543
1.2869,0.61,1.2865,0.6195,87,0.0004139041556900612,72768706 microseconds,512,2,0.6484444454479072,0.46758174873463954
1.2895,0.6132,1.2978,0.6022,65,0.0007343653470814781,52990874 microseconds,512,2,0.70372339054759,0.6490417241780254
1.2998,0.5968,1.3,0.6071,150,0.00021062204114547883,477322287 microseconds,128,2,0.8067768967246133,0.8686837305045065
1.3045,0.5923,1.3041,0.5942,38,0.000782637978718119,231178777 microseconds,64,2,0.59621653243606,0.788726519724056
1.4058,0.4914,1.3781,0.5142,67,0.0003590787699624722,401240218 microseconds,64,2,0.9922969160349538,0.10413090033397743
1.3896,0.5132,1.3843,0.5197,53,0.0008424002969122564,85285965 microseconds,256,2,0.3375067853171694,0.9664508068508135
1.4403,0.456,1.4273,0.4735,43,0.00044257264741498487,269523945 microseconds,64,2,0.9962622556647094,0.032312333663209736
1.4455,0.4526,1.4392,0.4538,16,0.0007696872606561201,95469410 microseconds,64,2,0.9807895717653345,0.8611158887151197
