train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.1356,0.7702,1.1543,0.7518,150,0.00018790177349691965,1192357789 microseconds,32,1,0.16572741719338946
1.1586,0.7477,1.1794,0.726,90,0.0006892329173182654,181886002 microseconds,128,1,0.25678906669176005
1.1674,0.7375,1.1958,0.7063,131,0.0007929358443939559,134332218 microseconds,256,1,0.0388192886622587
1.1692,0.7357,1.1982,0.7044,150,0.0009623102634535848,78578409 microseconds,512,1,0.33523724311761116
1.176,0.7289,1.1997,0.7026,148,0.0008746427739556475,77503999 microseconds,512,1,0.2747205230638017
1.1772,0.7294,1.201,0.7026,143,0.0005683121647776894,145657165 microseconds,256,1,0.026630361844011685
1.1814,0.7245,1.2028,0.705,150,0.0002846030206395601,303110179 microseconds,128,1,0.23056378791399557
1.192,0.7147,1.2104,0.6915,102,0.0003861568848751218,205623251 microseconds,128,1,0.3571613432629024
1.1954,0.7101,1.2165,0.6841,150,0.0005707663749648633,152762818 microseconds,256,1,0.6513458034433514
1.2056,0.6994,1.2249,0.6773,140,0.00040547623803894917,282545087 microseconds,128,1,0.7165148452991983
1.2136,0.6944,1.2316,0.665,150,0.0004410537270784433,153380548 microseconds,256,1,0.7508052320880242
1.2221,0.6836,1.2338,0.6693,95,0.0005537255460092372,378724124 microseconds,64,1,0.733094192508099
1.2464,0.6547,1.2489,0.6509,108,0.0009577870643547564,431167586 microseconds,64,1,0.7777848627083941
1.2796,0.6159,1.2811,0.6188,87,0.0004981532501964666,346768961 microseconds,64,1,0.8317302409705659
1.2963,0.6071,1.2964,0.6108,72,0.0002853301285825639,74552850 microseconds,256,1,0.20250286245961746
1.3168,0.5789,1.3156,0.5807,59,0.00036196915253820035,235403652 microseconds,64,1,0.8649527240861856
1.317,0.5876,1.3243,0.5813,150,0.0001235714921029949,78791241 microseconds,512,1,0.4852501447205554
1.3268,0.5712,1.3287,0.5727,92,0.0006954878518144793,48269063 microseconds,512,1,0.9078085808109527
1.3293,0.5775,1.3332,0.5745,150,0.00010728912291405592,78459421 microseconds,512,1,0.632015887540253
1.3626,0.5415,1.3565,0.5493,150,0.00011105548849565811,153570934 microseconds,256,1,0.9263245607857201
