train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.1003,0.8067,1.1375,0.7703,150,0.0008678737248209115,86857490 microseconds,128,1,0.047464737629889675
1.1551,0.7508,1.1762,0.7303,123,0.0003507239411647276,71122303 microseconds,128,1,0.05273291244727574
1.1656,0.739,1.1827,0.7211,79,0.00023674490275000072,178790105 microseconds,32,1,0.0636007909155134
1.1669,0.7354,1.1868,0.7174,78,0.0004780963591585532,88363466 microseconds,64,1,0.1889648695139059
1.175,0.7286,1.1888,0.7149,132,0.000406907104972132,75725461 microseconds,128,1,0.5597549741286185
1.1909,0.7109,1.1909,0.7112,100,0.0009219936776779772,112961622 microseconds,64,1,0.60819027143938
1.1797,0.7244,1.1953,0.7063,80,0.000617055656051447,46348759 microseconds,128,1,0.10792875005800628
1.1845,0.7246,1.1964,0.7094,150,0.00011769619199961833,86128677 microseconds,128,1,0.2884927387982097
1.1836,0.721,1.1978,0.7075,90,0.000935347605975355,26890494 microseconds,256,1,0.5267567922441082
1.1904,0.7155,1.2036,0.7026,82,0.00028764505434306634,96699965 microseconds,64,1,0.5456790343692607
1.191,0.716,1.2056,0.7057,129,0.0004631016147909154,20282350 microseconds,512,1,0.5884772189805237
1.1916,0.717,1.2067,0.7026,114,0.0005663117457493152,18024866 microseconds,512,1,0.5944359062380995
1.2009,0.7048,1.2125,0.694,132,0.0007153541609560966,20319655 microseconds,512,1,0.7446198119134926
1.2398,0.6645,1.2384,0.665,83,0.0008549875931064978,24640950 microseconds,256,1,0.7860605753476319
1.2549,0.6444,1.2497,0.6521,74,0.0007710437896834406,167229049 microseconds,32,1,0.7837276223563238
1.2593,0.6429,1.2597,0.6422,94,0.0006550059187598973,212184899 microseconds,32,1,0.847786555467086
1.2973,0.6044,1.2999,0.6004,114,0.00015200300852881372,17086551 microseconds,512,1,0.8147592395694533
1.3328,0.5654,1.3272,0.5708,50,0.0009055805248714539,28986929 microseconds,128,1,0.8915784961633433
1.3541,0.5465,1.349,0.556,44,0.000582101907749211,13179526 microseconds,256,1,0.9536130790413924
1.5072,0.3884,1.4974,0.3996,37,0.00018978847053749745,83681784 microseconds,32,1,0.9969743627684781
