Trained model result:
Loss: 1.1072806842683807
Train time: 286260159 microseconds => 4,77100265 minutes

Starting GCN training on NVIDIA GeForce RTX 3060 cuda
TRM: DataLoader created with 127 batches
TRM: Epoch  53 | Train Loss: 1.170 | Train Acc: 0.733 | Val Loss: 1.181 | Val Acc: 0.719
TRM: Epoch  54 | Train Loss: 1.158 | Train Acc: 0.746 | Val Loss: 1.173 | Val Acc: 0.730
TRM: Epoch  55 | Train Loss: 1.165 | Train Acc: 0.738 | Val Loss: 1.176 | Val Acc: 0.724
TRM: Epoch  56 | Train Loss: 1.183 | Train Acc: 0.722 | Val Loss: 1.176 | Val Acc: 0.728
TRM: Epoch  57 | Train Loss: 1.153 | Train Acc: 0.751 | Val Loss: 1.171 | Val Acc: 0.731
TRM: Epoch  58 | Train Loss: 1.155 | Train Acc: 0.749 | Val Loss: 1.183 | Val Acc: 0.722
TRM: Epoch  59 | Train Loss: 1.160 | Train Acc: 0.742 | Val Loss: 1.178 | Val Acc: 0.722
TRM: Epoch  60 | Train Loss: 1.161 | Train Acc: 0.741 | Val Loss: 1.167 | Val Acc: 0.738
TRM: Epoch  61 | Train Loss: 1.156 | Train Acc: 0.746 | Val Loss: 1.174 | Val Acc: 0.730
TRM: Epoch  62 | Train Loss: 1.153 | Train Acc: 0.749 | Val Loss: 1.187 | Val Acc: 0.717
TRM: Epoch  63 | Train Loss: 1.154 | Train Acc: 0.748 | Val Loss: 1.176 | Val Acc: 0.725
TRM: Epoch  64 | Train Loss: 1.154 | Train Acc: 0.749 | Val Loss: 1.171 | Val Acc: 0.733
TRM: Epoch  65 | Train Loss: 1.147 | Train Acc: 0.757 | Val Loss: 1.176 | Val Acc: 0.728
TRM: Epoch  66 | Train Loss: 1.152 | Train Acc: 0.751 | Val Loss: 1.171 | Val Acc: 0.735
TRM: Epoch  67 | Train Loss: 1.146 | Train Acc: 0.758 | Val Loss: 1.176 | Val Acc: 0.728
TRM: Epoch  68 | Train Loss: 1.147 | Train Acc: 0.757 | Val Loss: 1.164 | Val Acc: 0.738
TRM: Epoch  69 | Train Loss: 1.148 | Train Acc: 0.755 | Val Loss: 1.165 | Val Acc: 0.738
TRM: Epoch  70 | Train Loss: 1.163 | Train Acc: 0.739 | Val Loss: 1.165 | Val Acc: 0.740
TRM: Epoch  71 | Train Loss: 1.142 | Train Acc: 0.761 | Val Loss: 1.159 | Val Acc: 0.744
TRM: Epoch  72 | Train Loss: 1.144 | Train Acc: 0.759 | Val Loss: 1.167 | Val Acc: 0.735
TRM: Epoch  73 | Train Loss: 1.138 | Train Acc: 0.767 | Val Loss: 1.170 | Val Acc: 0.734
TRM: Epoch  74 | Train Loss: 1.143 | Train Acc: 0.761 | Val Loss: 1.166 | Val Acc: 0.733
TRM: Epoch  75 | Train Loss: 1.138 | Train Acc: 0.766 | Val Loss: 1.174 | Val Acc: 0.728
TRM: Epoch  76 | Train Loss: 1.140 | Train Acc: 0.764 | Val Loss: 1.177 | Val Acc: 0.725
TRM: Epoch  77 | Train Loss: 1.141 | Train Acc: 0.762 | Val Loss: 1.156 | Val Acc: 0.748
TRM: Epoch  78 | Train Loss: 1.146 | Train Acc: 0.757 | Val Loss: 1.159 | Val Acc: 0.744
TRM: Epoch  79 | Train Loss: 1.151 | Train Acc: 0.753 | Val Loss: 1.183 | Val Acc: 0.719
TRM: Epoch  80 | Train Loss: 1.146 | Train Acc: 0.757 | Val Loss: 1.168 | Val Acc: 0.736
TRM: Epoch  81 | Train Loss: 1.144 | Train Acc: 0.759 | Val Loss: 1.161 | Val Acc: 0.743
TRM: Epoch  82 | Train Loss: 1.138 | Train Acc: 0.765 | Val Loss: 1.157 | Val Acc: 0.748
TRM: Epoch  83 | Train Loss: 1.159 | Train Acc: 0.743 | Val Loss: 1.167 | Val Acc: 0.737
TRM: Epoch  84 | Train Loss: 1.151 | Train Acc: 0.753 | Val Loss: 1.158 | Val Acc: 0.745
TRM: Epoch  85 | Train Loss: 1.142 | Train Acc: 0.761 | Val Loss: 1.163 | Val Acc: 0.737
TRM: Epoch  86 | Train Loss: 1.143 | Train Acc: 0.760 | Val Loss: 1.157 | Val Acc: 0.749
TRM: Epoch  87 | Train Loss: 1.136 | Train Acc: 0.768 | Val Loss: 1.163 | Val Acc: 0.740
TRM: Epoch  88 | Train Loss: 1.140 | Train Acc: 0.763 | Val Loss: 1.155 | Val Acc: 0.750
TRM: Epoch  89 | Train Loss: 1.142 | Train Acc: 0.761 | Val Loss: 1.165 | Val Acc: 0.740
TRM: Epoch  90 | Train Loss: 1.148 | Train Acc: 0.756 | Val Loss: 1.154 | Val Acc: 0.748
TRM: Epoch  91 | Train Loss: 1.136 | Train Acc: 0.767 | Val Loss: 1.168 | Val Acc: 0.735
TRM: Epoch  92 | Train Loss: 1.134 | Train Acc: 0.770 | Val Loss: 1.166 | Val Acc: 0.737
TRM: Epoch  93 | Train Loss: 1.143 | Train Acc: 0.760 | Val Loss: 1.159 | Val Acc: 0.744
TRM: Epoch  94 | Train Loss: 1.133 | Train Acc: 0.770 | Val Loss: 1.157 | Val Acc: 0.746
TRM: Epoch  95 | Train Loss: 1.131 | Train Acc: 0.774 | Val Loss: 1.164 | Val Acc: 0.740
